title,url,views_text,upload_text,duration_text,channel,views,days_since_upload,duration_minutes,videoId,title_length,num_hashtags,was_scraped,was_api
who remembers this trend omg?!😭💗✨ #trending #viralvideo #comedy #tiktok #shorts,https://www.youtube.com/shorts/7lkmLyfkiKU,9.5M views,9 months ago,,Daryna Popach,9500000,0.00625,,7lkmLyfkiKU,79,5,True,False
2025 Trends That Look CHEAP #shorts #viral #shortvideo #viralvideo #trending #fashion #aesthetic,https://www.youtube.com/shorts/k67TwilE96c,729K views,5 months ago,,Let’s Style It,729000,0.003472222222222222,,k67TwilE96c,96,7,True,False
Top 17 New Technology Trends That Will Define 2026,https://www.youtube.com/watch?v=Otim2mDjsYM&pp=ygUIdHJlbmRpbmc%3D,324K views,2 months ago,12:10,AI Uncovered,324000,0.001388888888888889,12.166666666666666,Otim2mDjsYM,50,0,True,False
Love this dance trend ❤️😱@itsNovasWorld #dance #trends #shorts,https://www.youtube.com/shorts/LJ9X4cUCvH0,17M views,2 months ago,,Nisha Noelle,17000000,0.001388888888888889,,LJ9X4cUCvH0,62,3,True,False
YouTube is REMOVING The Trending Page...,https://www.youtube.com/watch?v=ZhRvUC2vGNY&pp=ygUIdHJlbmRpbmc%3D,93K views,2 months ago,6:47,Timeworks,93000,0.001388888888888889,6.783333333333333,ZhRvUC2vGNY,40,0,True,False
Top Hits Spotify 2025 ~ Trending Songs 2025 🎵 Viral Songs Latest & New Pop Hits Playlist Mix 2025,https://www.youtube.com/watch?v=Gt8-xhZceaU&list=RDGt8-xhZceaU&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,262K views,7 days ago,,Dynamic Deep House,262000,7.0,,Gt8-xhZceaU,97,0,True,False
"Bump, Lipstick, Rip!💄😅 #brainrot  #funny #tungtungtungsahur #memes #trending",https://www.youtube.com/shorts/PDSz9hYG6do,11M views,3 months ago,,HuoCheDaDaAi,11000000,0.0020833333333333333,,PDSz9hYG6do,76,5,True,False
New Tiktok Mashup 2025 Philippines Party Music Viral Dance Trends October 22nd,https://www.youtube.com/watch?v=XCLUn-OMgsM&pp=ygUIdHJlbmRpbmc%3D,249K views,16 hours ago,5:36,Kuya Magik,249000,0.6666666666666666,5.6,XCLUn-OMgsM,78,0,True,False
2025 TikTok Trend Check! Do you know all this trend?,https://www.youtube.com/watch?v=W8FJJvCJ-fU&pp=ygUIdHJlbmRpbmc%3D,3.5M views,2 months ago,3:07,Cheese Mashup,3500000,0.001388888888888889,3.1166666666666667,W8FJJvCJ-fU,52,0,True,False
Rell Vert & Bloodhound Q50 - Trending Topic (Official Music Video),https://www.youtube.com/watch?v=kX9Lgt-EWWM&list=RDkX9Lgt-EWWM&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,228K views,6 days ago,,Bloodhound Q50,228000,6.0,,kX9Lgt-EWWM,66,0,True,False
