videoId,title,description,tags,publishedAt,channelId,channelTitle,categoryId,duration,viewCount,likeCount,commentCount,duration_minutes,publishedAt_dt,days_since_upload,engagement_rate,title_length,tag_count,was_scraped,was_api
xBMc0wzOJ9s,Bigg Boss Season 9 Day 18 Troll - Today Trending #biggboss9tamil,"For Promotions & Contact : boxstar.in@gmail.com

Instagram https://www.instagram.com/todaytrendingtroll
Twitter https://twitter.com/TodayTrendingTT
Facebook https://www.facebook.com/todaytrendingofficial/

*********************************************************

CONTENT DISCLAIMER
The views and opinions expressed in this video are not meant to hurt any individual. we cannot held liable in such situations

COPYRIGHT DISCLAIMER UNDER SECTION 107 OF THE COPYRIGHT ACT 1976
Copyright Disclaimer Under section 107 of the Copyright act 1976, allowance is made for the ""fair use for purposes such as criticism, comment,news reporting,teaching,scholarship and research. Fair use is a use permitted by Copyright statue that might otherwise be infringing. Non-profit,educational or personal use tips the balance in favor of Fair use.

*********************************************************

© 2025 Today Trending
#todaytrending #todaytrendingtroll","['today trending', 'today trending troll', 'today trending troll in tamil', 'today trending videos in tamil', 'today trending memes', 'today trending troll latest', 'today trending vidoes', 'today trending troll vidoes', 'tamil troll', 'todays trending', 'diwakar parvathy fight', 'paru diwakar fight', 'bigg boss parvathy', 'bigg boss diwakar', 'bigg boss', 'bigg boss day 18', 'bigg boss promo', 'diwakar kamrudin fight', 'kamrudin red card', 'bigg boss kamrudin', 'kamrudin']",2025-10-24T11:13:34Z,UCG0m9a2z1ziRm2YlaFuyU7A,Today Trending,24,PT16M59S,74223,2567.0,190.0,16.983333333333334,2025-10-24 11:13:34+00:00,0.18383183431712963,0.03714482033870903,64,21,False,True
2sokLXhqRFQ,Who did it best? ❤️ #Shorts #Dance #Trending,,[],2025-08-06T19:06:52Z,UCdnJJrDUl-y_ryelLMslxkQ,Brat TV,24,PT15S,8658262,109192.0,2046.0,0.25,2025-08-06 19:06:52+00:00,78.85515127876157,0.012847613065994076,44,0,False,True
f4UAyV2Fwe4,OUCH 😢😢😢 #makeup #makeupchallenge #prank #sfxmakeup #trends #makeuptrends #sfxartist,,[],2023-09-03T16:38:25Z,UCtS1l80qTAbLMA0ASFSxjfw,Gee Esler-Box,22,PT23S,11638238,185320.0,4455.0,0.38333333333333336,2023-09-03 16:38:25+00:00,781.9582415565393,0.01630616249641913,84,0,False,True
O07T9_5VIRI,who remembers this trend?😳 #trending #viral #tiktok #funny,,[],2023-04-24T17:57:41Z,UC2EWWA0SRV-AaSu1_zGgJuQ,Daryna Popach,24,PT15S,21536013,1075602.0,16026.0,0.25,2023-04-24 17:57:41+00:00,913.903195260243,0.0506884909476977,58,0,False,True
RXsj69PyjQc,Funny Accidental Twinning with Sister #funny #twinmoments #momlife #momtok #sister #mom #trending,"Disclaimer: This content is exclusively managed by Caters News. To license or use in a commercial player, please contact licensing@catersnews.com or call +44 (0)121 616 1100 / +1 646 380 1615.",[],2025-08-09T21:04:48Z,UCULBckoPeCkJNT5J5ay1nTQ,Megan Lawing,22,PT12S,70033139,574206.0,1050.0,0.2,2025-08-09 21:04:48+00:00,75.77325313061343,0.008214054206537851,97,0,False,True
tOA8LDqE7oo,What do y'all think of this trend 🤔 #moneytalks #trending #edit,,[],2025-02-09T15:50:38Z,UC_bwpBElTcWlY0pOQzZ6kyg,Daytee Editz Trends,24,PT6S,12217501,209013.0,3684.0,0.1,2025-02-09 15:50:38+00:00,256.9914244269097,0.017409206678190573,63,0,False,True
LJ9X4cUCvH0,Love this dance trend ❤️😱@itsNovasWorld #dance #trends #shorts,"#britainnoelle #britainlee #baylaanoelle #bayalaarose #shortsvideo #shortsfeed #shortsviral #familyfun #sisters #britainandbaylaa #nishaandfam #familychannel 

Nisha and fam | Nishaandfam | Nisha Noelle | Nisha Noelle fam | Britain and Baylaa | Britain Noelle | Baylaa Noelle | Britainlee | Baylaarose | TikTok trend | big family | relatable | funny trend | Sephora kids | Sephora | outfit ideas | outfit INSPO | affordable style | preppy outfits | tween mom | tween style | tweens | coordinating outfits | mom and daughter style | ootd | outfit of the day | shopping vlog | ulta | Britain Baylaa and Boston | Britain and Baylaa singing | Britain and Baylaa Youtube | Britain and Baylaa shorts | Britain and Baylaa Tiktok  | Britain Baylaa and Boston","['nisha and fam', 'nishaandfam', 'britain and bayla', 'britain and baylaa', 'britain and baylaa singing', 'Britain and Baylaa age', 'Britain and Bayla age', 'Britain nishaandfam', 'grwm', 'singing', 'shorts', 'tiktok', 'trends', 'get ready with me', 'nisha and fam tiktok', 'nisha and fam youtube', 'nisha noelle', 'big family', 'sephora kids', 'outfit ideas', 'Britain Baylaa and Boston', 'baylaa noelle', 'britain noelle', 'baylaa rose', 'britain lee', 'tween', 'tweens', 'mila and emma', 'garza crew']",2025-08-06T00:10:20Z,UCEXtDSSMjSWw9g4VxN3Gi8A,Nisha Noelle,22,PT9S,17344969,144381.0,3077.0,0.15,2025-08-06 00:10:20+00:00,79.64441053802082,0.008501485358665097,62,29,False,True
6wI35XxIFS0,Sugar ఉన్న వాళ్ల  కోసం 👍 #besttech #viral #trending #freestyle #diabetes #sensor #shorts #gadgets,,[],2025-10-24T12:33:32Z,UCVELOLuREJkG81rsg9y9l8A,besttechintelugu,28,PT2M25S,34587,5621.0,63.0,2.4166666666666665,2025-10-24 12:33:32+00:00,0.12829942690972224,0.16433920259056872,97,0,False,True
8_yvQW1pZk0,happy diwali 🙈❤️🌚 SIMPAL KHAREL NEW TRENDING TIKTOK/ REELS VIDEO #simpalkharel  #shorts #trending,,"['simpal kharel', 'simpal kharel videos', 'simpalkharel', 'simple kharel', 'simple', 'simpal', 'simpal kharel makeup', 'simpal kharel shorts', 'simpal kharel viral reels', 'simpal kharel viral videos', 'simpal kharel trending tiktok', 'simpal kharel trending reels', 'simpal kharel channel', 'simpal kharel viral', 'simpal kharel new song', 'simpal kharel reaction video', 'simpal kharel tiktok reaction', 'diwali meme', 'happy diwali', 'diwali 2025', 'diwali reels']",2025-10-15T04:49:20Z,UCewbVCg5R3C9IBVrp-u0VFw,Simpal Kharel,24,PT6S,26167077,314718.0,5776.0,0.1,2025-10-15 04:49:20+00:00,9.450660538020834,0.012247986276801189,97,21,False,True
Ut1TA8M_a2Y,Suspect trend 😂 #twins #garzacrew #trends,"Follow us on all other socials!

TikTok -  https://www.tiktok.com/@garzacrew?lang=en
Instagram - https://www.instagram.com/garzacrew?igsh=MTNueHhqdjFiY2t3bg==
Facebook - https://www.facebook.com/officialgarzacrew?mibextid=LQQJ4d&rdid=U78CXIa3tI1z9ENk

#twin #tiktok #momtok #twingirls #trend #twinmom #funny #funnytrends 

Garza Crew / garzacrew / Garza crew twins / Garza crew youtube / Garza crew TikTok / Garza crew twins TikTok / Garza crew twin girls / twins / twin girls / twin sisters / Garza crew family / Garza crew age / Garza crew Instagram / Koti and Haven / Haven and Koti / Koti and Haven Garza / Haven and Koti Garza / Haven and Koti YouTube / Koti and Haven YouTube / Koti and Haven TikTok / Haven and Koti TikTok / Koti and Haven GRWM / Haven and Koti GRWM / Garza crew GRWM / Garza crew twins GRWM / Koti and Haven age / Haven and Koti age / Garza crew skincare  / Adrea Garza / Adrea Garza tiktok / Garza crew mom / Garza twins / twin mom / Garza crew controversy / gen alpha / skincare for kids / kids skincare","['Garza Crew', 'garzacrew', 'Garza crew twins', 'Garza crew youtube', 'Garza crew TikTok', 'Garza crew twin girls', 'twins', 'twin girls', 'Koti and Haven Garza', 'Haven and Koti Garza', 'Haven and Koti YouTube', 'Garza crew GRWM', 'Garza crew skincare', 'Adrea Garza', 'Garza crew mom', 'twin mom', 'garza crew', 'Garza crew twins TikTok', 'Garza crew family', 'Garza crew instagram', 'Haven and Koti TikTok', 'Garza crew twins GRWM', 'gen alpha', 'shorts', 'trend', 'Koti and Haven YouTube', 'suspect trend', 'suspect challenge']",2024-11-15T02:18:11Z,UCGeNsYOMXp0WIp0b3qrrryw,Garza Crew,22,PT26S,11179484,126319.0,2223.0,0.43333333333333335,2024-11-15 02:18:11+00:00,343.5556258157986,0.011498026205860663,41,28,False,True
